"Sr","INDEX","DATE","..MAX","..MIN","AW","..R.F","SLP","MSP","DPT","RH","VP"
"1",42920,1969-01-01,27.3,9.8,8,0,942.55,1011.1,2.45,35.5,29.5
"2",42920,1969-01-02,25.8,8.3,10,0,943.45,1012.15,2.2,37.5,16
"3",42920,1969-01-03,26.7,7.3,7,0,943.5,1012.25,4.9,35.5,4.5
"4",42920,1969-01-04,26.7,12.4,6,0,943.5,1011.65,6.1,39.5,7
"5",42920,1969-01-05,27.5,15,5,0,944.05,1011.55,12.65,53,11.5
"6",42920,1969-01-06,30.3,9.4,7,0,944.75,1012.35,10.5,49,9
"7",42920,1969-01-07,30.4,12.3,9,0,945.7,1013.75,10.55,52,13.5
"8",42920,1969-01-08,30.3,12.3,7,0,945.95,1013.9,11.05,54,0
"9",42920,1969-01-09,30.1,12.8,5,0,945.95,1013.7,10.85,48.5,2.5
"10",42920,1969-01-10,30.8,12.8,6,0,945.5,1013.1,10.55,45.5,28.5
"11",42920,1969-01-11,30.9,11.5,6,0,944.75,1012.5,8.15,42.5,13.5
"12",42920,1969-01-12,31.7,12.6,6,0,944.75,1012.5,7.35,39.5,14.5
"13",42920,1969-01-13,31.9,13.2,11,0,945.65,1013.65,8.7,43.5,31.5
"14",42920,1969-01-14,27.9,NA,11,0,946.25,1015.3,1.95,40,4.5
"15",42920,1969-01-15,26.3,6.8,9,0,945.8,1014.4,1.65,32.5,7
"16",42920,1969-01-16,29.9,9.7,6,0,945.9,1014.25,5.9,40,31.5
"17",42920,1969-01-17,31.1,9.3,7,0,944.25,1012.4,5.15,42,16
"18",42920,1969-01-18,30.7,7,6,0,943.15,1011.3,0.8,30.5,16
"19",42920,1969-01-19,30.2,7.1,6,0,943,1011,3.6,31.5,0
"20",42920,1969-01-20,30.6,10.8,5,0,945.05,1012.7,6.85,35.5,11.5
"21",42920,1969-01-21,29.9,11.3,7,0,945.75,1013.8,8.55,45.5,0
"22",42920,1969-01-22,29.5,11.4,5,0,945,1012.95,8.6,43.5,5.5
"23",42920,1969-01-23,29.2,10.4,6,0,943.9,1011.8,7.65,42,2.5
"24",42920,1969-01-24,29.9,9.7,5,0,944.6,1012.5,7.45,42,8
"25",42920,1969-01-25,31.5,9.2,6,0,943.05,1010.95,2.65,34,2.5
"26",42920,1969-01-26,30.5,9.6,5,0,941.2,1008.95,1.95,30,13.5
"27",42920,1969-01-27,30.4,11.1,10,0,939.65,1007.25,6.2,39,28
"28",42920,1969-01-28,28.5,6.2,12,0,941.15,1009,5.15,40,0
"29",42920,1969-01-29,29.2,8.8,4,0,942.8,1010.8,0.9,26.5,16
"30",42920,1969-01-30,29.6,9.2,4,0,942.35,1010.05,0.35,24.5,13.5
"31",42920,1969-01-31,31.9,8.6,8,0,942.1,1010.15,-0.15,29.5,34
"32",42920,1969-02-01,32.5,9.6,7,0,942.95,1010.8,6,36,14.5
"33",42920,1969-02-02,30.4,9.3,7,0,942.45,1010.05,8.4,46.5,16
"34",42920,1969-02-03,32.5,12.6,8,0,943.1,1010.95,9.1,47,14.5
"35",42920,1969-02-04,32,10.3,12,0,943.7,1011.8,4.25,36.5,28.5
"36",42920,1969-02-05,28.8,7.8,10,0,943.85,1012.15,-1.45,23.5,16
"37",42920,1969-02-06,28.4,9.8,5,0,944.3,1011.8,1.75,25,0
"38",42920,1969-02-07,31.2,11.4,5,0,946.25,1013.4,4.05,26.5,0
"39",42920,1969-02-08,33.3,12.6,4,0,948.2,1015.75,3.15,25,11.5
"40",42920,1969-02-09,32.5,12.4,6,0,947.35,1014.75,5.3,29,5.5
"41",42920,1969-02-10,32.6,11.8,6,0,944.7,1012.05,5.5,32.5,2.5
"42",42920,1969-02-11,33.5,12.1,6,0,942.3,1009.25,6.25,31.5,24.5
"43",42920,1969-02-12,33.3,12.6,8,0,942.3,1009.6,4.25,28,28
"44",42920,1969-02-13,30.3,10.6,11,0,941.85,1009.3,8.9,44,14.5
"45",42920,1969-02-14,30,8.8,10,0,942.85,1010.8,8.2,46,13.5
"46",42920,1969-02-15,30.2,8.8,7,0,943.1,1011.2,8.95,47.5,7
"47",42920,1969-02-16,30.7,14.6,12,0,944.05,1011.75,12.45,57.5,30.5
"48",42920,1969-02-17,31,11.3,8,0,944.85,1012.35,8.9,44,0
"49",42920,1969-02-18,32.1,12.6,8,0,943.65,1011.35,5.85,36.5,16
"50",42920,1969-02-19,33.2,14.2,8,0,943.35,1010.4,4.05,27.5,16
"51",42920,1969-02-20,33,15,7,0,943.3,1010.1,4.9,29,13.5
"52",42920,1969-02-21,33.9,11,6,0,943.65,1010.55,3.45,26,16
"53",42920,1969-02-22,34.8,8.3,8,0,942.85,1010,1.95,24.5,16
"54",42920,1969-02-23,33.6,11.7,8,0,942.45,1009.15,1.85,22,14.5
"55",42920,1969-02-24,34.2,10.2,9,0,943.55,1010.85,5.4,31,7
"56",42920,1969-02-25,32.7,13.9,7,0,943.65,1010.85,10.45,42.5,14.5
"57",42920,1969-02-26,32.9,14.3,9,0,946.05,1013.7,9.1,42,16
"58",42920,1969-02-27,32.3,12.5,7,0,946.55,1014.2,10.45,45.5,16
"59",42920,1969-02-28,32.4,15,7,0,945.55,1012.45,10.3,35.5,32
"60",42920,1969-03-01,33,16,11,0,944.55,1011.45,10.7,39,16
"61",42920,1969-03-02,33.9,15,7,0,944.6,1011.4,8.75,33,0
"62",42920,1969-03-03,34.8,17.6,8,0,944,1010.3,10.35,32.5,16
"63",42920,1969-03-04,36.3,19.2,9,0,943.65,1009.9,12.35,37,12.5
"64",42920,1969-03-05,34.5,17.8,3,0,943.45,1009.95,12.35,40,14.5
"65",42920,1969-03-06,35.1,16.8,7,0,943,1009.25,8.25,31.5,16
"66",42920,1969-03-07,37.3,18.6,10,0,943.1,1009.45,2.85,21.5,16
"67",42920,1969-03-08,37.5,19.5,8,0,942.8,1009.4,4.7,25,16
"68",42920,1969-03-09,37.2,18,8,0,943.3,1009.2,2.65,18.5,17
"69",42920,1969-03-10,37.9,15,10,0,943.2,1009.25,3.2,19.5,16
"70",42920,1969-03-11,37.9,15.4,9,0,943.55,1009.75,5.55,24,14.5
"71",42920,1969-03-13,37.9,14.1,12,0,942.35,1008.25,8.7,28,14.5
"72",42920,1969-03-14,37.9,17,9,0,941.55,1007.6,10.35,31,16
"73",42920,1969-03-15,38,17.3,9,0,943.4,1009.9,9.25,36.5,15.5
"74",42920,1969-03-16,35.8,15.6,13,0,943.9,1010.2,5.35,22,29.5
"75",42920,1969-03-17,35.3,13.6,14,0,942.45,1009,7.45,33,29.5
"76",42920,1969-03-18,35.2,15,12,0,941.8,1008.5,13.95,49.5,29
"77",42920,1969-03-19,32.9,15,12,0,942.05,1008.65,11.45,41.5,13.5
"78",42920,1969-03-20,33.7,13,10,0,942.25,1008.65,9,31.5,29.5
"79",42920,1969-03-21,35,14.9,10,0,942.25,1008.45,11.3,36.5,12.5
"80",42920,1969-03-22,36.9,15.8,11,0,942.7,1008.65,11,32.5,29.5
"81",42920,1969-03-23,37.7,17.4,12,0,943.3,1008.8,8.95,32.5,29
"82",42920,1969-03-24,37.1,17.7,11,0,942.5,1008.25,7.4,29,13.5
"83",42920,1969-03-25,38.6,19.8,11,0,942.9,1008.45,6.1,22.5,32
"84",42920,1969-03-26,37.5,19,13,0,941.9,1007.65,7.4,25,32
"85",42920,1969-03-27,37,19.6,12,0,941.1,1006.5,8.35,24,32
"86",42920,1969-03-28,38.3,21.4,13,0,941.55,1007.15,11.1,31,34
"87",42920,1969-03-29,36.7,20.3,9,0,941.05,1006.35,12.25,31,35
"88",42920,1969-03-30,38,18.7,9,0,941.3,1006.6,14.4,34.5,13.5
"89",42920,1969-03-31,39.3,20.5,10,0,941.35,1006.45,14.6,32,4.5
"90",42920,1969-04-01,39.4,20.2,11,0,940.75,1005.6,3.6,16,32
"91",42920,1969-04-02,40.1,20.2,11,0,940.95,1006.25,9.05,24,16
"92",42920,1969-04-03,39.6,19,11,0,940.5,1005.75,10.7,27.5,14.5
"93",42920,1969-04-04,39.6,18.4,12,0,942.05,1007.8,15.05,40.5,30.5
"94",42920,1969-04-05,39.3,20.2,10,0,942.65,1008.15,13.5,40.5,31.5
"95",42920,1969-04-06,40.2,18.4,9,0,943.45,1008.7,13.5,31,17
"96",42920,1969-04-07,40.5,20.3,12,0,942.6,1007.75,7.05,20,29.5
"97",42920,1969-04-08,39.9,20.8,12,0,942.6,1007.7,9.7,25,17
"98",42920,1969-04-09,39.1,20.6,10,0,943.35,1008.75,15.05,35,26
"99",42920,1969-04-10,39.4,19.4,12,0,941.65,1007.2,12.95,39,16
"100",42920,1969-04-11,38.5,21.2,10,0,941.8,1007.85,17.15,48.5,16
"101",42920,1969-04-12,38.6,21.3,14,0,942.7,1008.3,15.25,40.5,31.5
"102",42920,1969-04-13,39.8,21.6,14,0,942.05,1007.45,12.5,32.5,32
"103",42920,1969-04-14,38.8,23.6,13,0,940.35,1004.95,10.25,24,32
"104",42920,1969-04-15,40.6,23.3,15,0,939.9,1004.8,10.1,26,32
"105",42920,1969-04-16,40.5,21.6,16,0,938.7,1003.35,10.45,24.5,30.5
"106",42920,1969-04-17,39.8,23.4,18,0,938.2,1003.25,7.55,22.5,32
"107",42920,1969-04-18,38.4,17.7,17,0,940,1005.3,5.5,13,29.5
"108",42920,1969-04-19,38,18.5,13,0,940.35,1006.25,13.1,41.5,30.5
"109",42920,1969-04-20,38.2,18.6,14,0,939.3,1004.75,11.55,30,30.5
"110",42920,1969-04-21,38.4,19.6,14,0,940.9,1006.4,14.65,39.5,25
"111",42920,1969-04-22,37.1,21.4,15,0,940.9,1006.3,12.25,32.5,30.5
"112",42920,1969-04-23,37.2,18,15,0,940.65,1006.2,11.2,30,32
"113",42920,1969-04-24,37.7,19.7,14,0,940.85,1005.95,8.9,23.5,28.5
"114",42920,1969-04-25,38.8,19.2,12,0,940.85,1005.55,4.95,17.5,63
"115",42920,1969-04-26,40.5,19.1,10,0,940.55,1005.25,6,18,30.5
"116",42920,1969-04-27,41,18.5,10,0,940,1005.1,7.05,23.5,16
"117",42920,1969-04-28,39.8,20.5,14,0,940,1005.55,10.5,32.5,28
"118",42920,1969-04-29,37.4,19.6,16,0,939.4,1005,13.25,37,27
"119",42920,1969-04-30,36,19.8,20,0,939.75,1005.65,16.7,49.5,27
"120",42920,1969-05-01,36.1,21.3,20,0,939.4,1005.3,10.6,39,27
"121",42920,1969-05-02,34.9,19.3,17,0,938.9,1004.75,14.4,43.5,28
