"","Year","R"
"1",1969,899
"2",1970,594.5
"3",1971,649.7
"4",1972,303
"5",1973,685.6
"6",1974,527.6
"7",1975,474.6
"8",1976,1119.7
"9",1977,516.8
"10",1978,583.2
"11",1979,695.5
"12",1980,639.4
"13",1981,566.2
"14",1982,439.2
"15",1983,562.7
"16",1984,589
"17",1985,362.8
"18",1986,337.7
"19",1987,705.7
"20",1988,569
"21",1989,447.8
"22",1990,657.9
"23",1991,686.5
"24",1992,435.4
"25",1993,661.1
"26",1994,652
"27",1995,461.2
"28",1996,619.5
"29",1997,650.7
"30",1998,765.2
"31",1999,726.6
"32",2000,166.8
"33",2001,727.9
"34",2002,606.8
"35",2003,912
"36",2004,1021.9
"37",2005,1262.7
"38",2006,1282.3
"39",2007,0
"40",2008,1088.5
"41",2009,554.3
"42",2010,222.4
"43",2011,152.2
"44",2012,283.2
"45",2013,454.8
"46",2014,805.5
"47",2015,680.8
